Site,DateTime,Season,HourlySpill,HourlyFlow,PHMin,DailySpillCap,GasCapTarget,PerfSpillTarget,PerfSpillHours,HourlyTDG_TR,12HrAvgTDG_TR,TDGStnd_TR,Comments
LGR,4/3/2025 0:00,Spring    ,7.7,92.3,12,80,80,,0,104.2,120,125,
LGR,4/3/2025 1:00,Spring    ,60,76.2,12,80,64.2,,0,116.1,120,125,
LGR,4/3/2025 2:00,Spring    ,60.8,73.4,12,80,61.4,,0,118.4,120,125,
LGR,4/3/2025 3:00,Spring    ,60.7,73.3,12,80,61.3,,0,118.9,120,125,
LGR,4/3/2025 4:00,Spring    ,60.8,73.4,12,80,61.4,,0,119.2,120,125,
LGR,4/3/2025 5:00,Spring    ,60.8,73.5,12,80,61.5,,0,119.3,120,125,
LGR,4/3/2025 6:00,Spring    ,60.9,73.4,12,80,61.4,,0,119.4,120,125,
LGR,4/3/2025 7:00,Spring    ,60.9,73.5,12,80,61.5,,0,119.3,120,125,
LGR,4/3/2025 8:00,Spring    ,60.9,73.4,12,80,61.4,,0,119.4,120,125,
LGR,4/3/2025 9:00,Spring    ,60.9,73.4,12,80,61.4,,0,119.4,120,125,
LGR,4/3/2025 10:00,Spring    ,60.9,73.6,12,80,61.6,,0,119.5,120,125,
LGR,4/3/2025 11:00,Spring    ,57.6,70.1,12,80,58.1,,0,119.5,120,125,
LGR,4/3/2025 12:00,Spring    ,57.6,70.1,12,80,58.1,,0,119.4,120,125,
LGR,4/3/2025 13:00,Spring    ,57.6,70.1,12,80,58.1,,0,119.5,120,125,
LGR,4/3/2025 14:00,Spring    ,57.6,70.1,12,80,58.1,,0,119.4,120,125,
LGR,4/3/2025 15:00,Spring    ,57.7,70.2,12,80,58.2,,0,120.1,120,125,
LGR,4/3/2025 16:00,Spring    ,57.8,70.3,12,80,58.3,,0,120,120,125,
LGR,4/3/2025 17:00,Spring    ,57.8,70.3,12,80,58.3,,0,120.2,120,125,
LGR,4/3/2025 18:00,Spring    ,57.9,70.4,12,80,58.4,,0,120.1,120,125,
LGR,4/3/2025 19:00,Spring    ,58,72.3,12,80,60.3,,0,120.1,120,125,
LGR,4/3/2025 20:00,Spring    ,58,70.5,12,80,58.5,,0,119.7,120,125,
LGR,4/3/2025 21:00,Spring    ,58,70.5,12,80,58.5,,0,120,120,125,
LGR,4/3/2025 22:00,Spring    ,58.1,72.3,12,80,60.3,,0,120.7,120,125,
LGR,4/3/2025 23:00,Spring    ,59,71.4,12,80,59.4,,0,120.1,120,125,
LGR,4/4/2025 0:00,Spring    ,61.5,74,12,80,62,,0,120.3,120,125,
LGR,4/4/2025 1:00,Spring    ,61.6,73.9,12,80,61.9,,0,120.3,120,125,
LGR,4/4/2025 2:00,Spring    ,61.6,73.9,12,80,61.9,,0,120.1,120,125,
LGR,4/4/2025 3:00,Spring    ,61.6,73.9,12,80,61.9,,0,120.4,120,125,
LGR,4/4/2025 4:00,Spring    ,61.5,73.9,12,80,61.9,,0,120.3,120,125,
LGR,4/4/2025 5:00,Spring    ,61.5,74,12,80,62,,0,120.2,120,125,
LGR,4/4/2025 6:00,Spring    ,61.5,73.9,12,80,61.9,,0,120.1,120,125,
LGR,4/4/2025 7:00,Spring    ,61.4,73.9,12,80,61.9,,0,120.2,120,125,
LGR,4/4/2025 8:00,Spring    ,61.4,73.7,12,80,61.7,,0,120.3,120,125,
LGR,4/4/2025 9:00,Spring    ,61.4,73.8,12,80,61.8,,0,120.2,120,125,
LGR,4/4/2025 10:00,Spring    ,61.1,73.5,12,80,61.5,,0,120.2,120,125,
