Site,DateTime,Season,HourlySpill,HourlyFlow,FBElevation,PHMin,DailySpillCap,SummerSpillTarget,12HrAvgTDG_FB,TDGStnd_FB,12HrAvgTDG_TR,TDGStnd_TR,Comments
LGR,6/21/2025 0:00,Summer    ,22.2,34.8,733.65,12,35,18,111,115,112,120,
LGR,6/21/2025 1:00,Summer    ,18.5,31.2,733.68,12,35,18,111,115,112,120,
LGR,6/21/2025 2:00,Summer    ,18.5,31.2,733.75,12,35,18,111,115,112,120,
LGR,6/21/2025 3:00,Summer    ,18.6,31.4,733.82,12,35,18,111,115,112,120,
LGR,6/21/2025 4:00,Summer    ,18.8,31.5,733.89,12,35,18,111,115,112,120,
LGR,6/21/2025 5:00,Summer    ,18.9,31.5,733.94,12,35,18,111,115,112,120,
LGR,6/21/2025 6:00,Summer    ,18.8,31.4,733.97,12,35,18,111,115,112,120,
LGR,6/21/2025 7:00,Summer    ,18.6,31.7,734.03,12,35,18,111,115,112,120,
LGR,6/21/2025 8:00,Summer    ,18.6,41.4,733.96,12,35,18,111,115,112,120,
LGR,6/21/2025 9:00,Summer    ,18.6,43.7,733.98,12,35,18,111,115,112,120,
LGR,6/21/2025 10:00,Summer    ,18.6,43.6,733.94,12,35,18,111,115,112,120,
LGR,6/21/2025 11:00,Summer    ,18.4,43,733.83,12,35,18,111,115,112,120,
LGR,6/21/2025 12:00,Summer    ,18.3,42.9,733.82,12,35,18,111,115,112,120,
LGR,6/21/2025 13:00,Summer    ,18.3,42.9,733.79,12,35,18,111,115,112,120,
LGR,6/21/2025 14:00,Summer    ,18.2,43,733.69,12,35,18,111,115,112,120,
LGR,6/21/2025 15:00,Summer    ,18.2,43,733.67,12,35,18,111,115,112,120,
LGR,6/21/2025 16:00,Summer    ,18.2,42.7,733.65,12,35,18,111,115,112,120,
LGR,6/21/2025 17:00,Summer    ,18.1,42.6,733.57,12,35,18,111,115,112,120,
LGR,6/21/2025 18:00,Summer    ,18,44.5,733.53,12,35,18,111,115,112,120,
LGR,6/21/2025 19:00,Summer    ,18,42.9,733.5,12,35,18,111,115,112,120,
LGR,6/21/2025 20:00,Summer    ,17.9,42.6,733.45,12,35,18,111,115,112,120,
LGR,6/21/2025 21:00,Summer    ,17.9,42.4,733.39,12,35,18,111,115,112,120,
LGR,6/21/2025 22:00,Summer    ,17.8,42.5,733.35,12,35,18,111,115,112,120,
LGR,6/21/2025 23:00,Summer    ,17.8,42.3,733.37,12,35,18,111,115,112,120,
LGR,6/22/2025 0:00,Summer    ,17.9,31,733.47,12,35,18,109,115,111,120,
LGR,6/22/2025 1:00,Summer    ,17.9,30.6,733.49,12,35,18,109,115,111,120,
LGR,6/22/2025 2:00,Summer    ,18,30.6,733.61,12,35,18,109,115,111,120,
LGR,6/22/2025 3:00,Summer    ,18.1,30.8,733.72,12,35,18,109,115,111,120,
LGR,6/22/2025 4:00,Summer    ,18.2,30.9,733.75,12,35,18,109,115,111,120,
LGR,6/22/2025 5:00,Summer    ,18.3,31,733.84,12,35,18,109,115,111,120,
LGR,6/22/2025 6:00,Summer    ,18.4,32.3,733.84,12,35,18,109,115,111,120,
LGR,6/22/2025 7:00,Summer    ,18,44.1,733.82,12,35,18,109,115,111,120,
LGR,6/22/2025 8:00,Summer    ,18,43.5,733.84,12,35,18,109,115,111,120,
LGR,6/22/2025 9:00,Summer    ,17.9,43.6,733.77,12,35,18,109,115,111,120,
LGR,6/22/2025 10:00,Summer    ,17.8,43.6,733.71,12,35,18,109,115,111,120,
LGR,6/22/2025 11:00,Summer    ,17.8,43.5,733.7,12,35,18,109,115,111,120,
LGR,6/22/2025 12:00,Summer    ,17.8,43.5,733.65,12,35,18,109,115,111,120,
LGR,6/22/2025 13:00,Summer    ,17.8,43.4,733.58,12,35,18,109,115,111,120,
LGR,6/22/2025 14:00,Summer    ,18,43.6,733.57,12,35,18,109,115,111,120,
LGR,6/22/2025 15:00,Summer    ,18,43.9,733.5,12,35,18,109,115,111,120,
LGR,6/22/2025 16:00,Summer    ,18,43.7,733.43,12,35,18,109,115,111,120,
LGR,6/22/2025 17:00,Summer    ,17.9,42.3,733.42,12,35,18,109,115,111,120,
LGR,6/22/2025 18:00,Summer    ,17.9,42.3,733.4,12,35,18,109,115,111,120,
LGR,6/22/2025 19:00,Summer    ,17.8,42.4,733.35,12,35,18,109,115,111,120,
LGR,6/22/2025 20:00,Summer    ,17.8,42.2,733.33,12,35,18,109,115,111,120,
LGR,6/22/2025 21:00,Summer    ,17.8,43.8,733.3,12,35,18,109,115,111,120,
LGR,6/22/2025 22:00,Summer    ,17.7,43.8,733.22,12,35,18,109,115,111,120,
LGR,6/22/2025 23:00,Summer    ,17.8,31.2,733.37,12,35,18,109,115,111,120,
LGR,6/23/2025 0:00,Summer    ,17.7,30.6,733.35,12,35,18,108,115,112,120,
LGR,6/23/2025 1:00,Summer    ,17.7,30.7,733.39,12,35,18,108,115,112,120,
LGR,6/23/2025 2:00,Summer    ,17.9,30.8,733.58,12,35,18,108,115,112,120,
LGR,6/23/2025 3:00,Summer    ,18,31,733.64,12,35,18,108,115,112,120,
LGR,6/23/2025 4:00,Summer    ,18,30.9,733.68,12,35,18,108,115,112,120,
LGR,6/23/2025 5:00,Summer    ,18.1,31.1,733.81,12,35,18,108,115,112,120,
LGR,6/23/2025 6:00,Summer    ,18.2,36.4,733.82,12,35,18,108,115,112,120,
LGR,6/23/2025 7:00,Summer    ,18.2,34.8,733.87,12,35,18,108,115,112,120,
LGR,6/23/2025 8:00,Summer    ,18.3,35.5,733.94,12,35,18,108,115,112,120,
LGR,6/23/2025 9:00,Summer    ,18.2,44.6,733.84,12,35,18,108,115,112,120,
LGR,6/23/2025 10:00,Summer    ,18.2,45.2,733.87,12,35,18,108,115,112,120,
LGR,6/23/2025 11:00,Summer    ,18.3,45.7,733.86,12,35,18,108,115,112,120,
LGR,6/23/2025 12:00,Summer    ,18.3,45.4,733.79,12,35,18,108,115,112,120,
LGR,6/23/2025 13:00,Summer    ,18.2,45.5,733.81,12,35,18,108,115,112,120,
LGR,6/23/2025 14:00,Summer    ,18.3,45.5,733.81,12,35,18,108,115,112,120,
LGR,6/23/2025 15:00,Summer    ,18.3,45.3,733.75,12,35,18,108,115,112,120,
LGR,6/23/2025 16:00,Summer    ,18.2,51.1,733.67,12,35,18,108,115,112,120,
LGR,6/23/2025 17:00,Summer    ,18.1,53.4,733.58,12,35,18,108,115,112,120,
LGR,6/23/2025 18:00,Summer    ,18,51.6,733.5,12,35,18,108,115,112,120,
LGR,6/23/2025 19:00,Summer    ,17.9,53.4,733.4,12,35,18,108,115,112,120,
LGR,6/23/2025 20:00,Summer    ,17.8,51,733.32,12,35,18,108,115,112,120,
LGR,6/23/2025 21:00,Summer    ,17.9,44.5,733.34,12,35,18,108,115,112,120,
LGR,6/23/2025 22:00,Summer    ,17.8,44.1,733.31,12,35,18,108,115,112,120,
