SampleEndDate,GuidanceEfficiency,Collapse,Week,batch,SubBatch,GearCode,SampleRate,Species,SpecialSpeciesCode,Clip,cwt,SampleCount,CollectionCount
03/26/2025,0.397,1,13,25085,1,GC,0.1,ST,NA,N,NA,1,10
03/27/2025,0.556,1,13,25086,1,GC,0.5,ST,NA,N,NA,18,36
03/28/2025,0.676,1,13,25087,1,GC,0.062421,ST,NA,N,NA,11,176
03/31/2025,0.57,1,14,25090,1,GC,0.02,ST,NA,N,NA,30,1500
04/01/2025,0.505,1,14,25091,1,GC,0.005,ST,NA,N,NA,7,1400
04/02/2025,0.499,1,14,25092,1,GC,0.005,ST,NA,N,NA,15,3000
04/03/2025,0.134,1,14,25093,1,GC,0.02,ST,NA,N,NA,25,1250
04/04/2025,0.133,1,14,25094,1,GC,0.02,ST,NA,N,NA,3,150
04/07/2025,0.136,1,15,25097,1,GC,0.2,ST,NA,N,NA,11,55
04/08/2025,0.135,1,15,25098,1,GC,0.2,ST,NA,N,NA,24,120
04/09/2025,0.13,1,15,25099,1,GC,0.1,ST,NA,N,NA,11,110
04/10/2025,0.129,1,15,25100,1,GC,0.1,ST,NA,N,NA,8,80
04/11/2025,0.127,1,15,25101,1,GC,0.1,ST,NA,N,NA,20,200
04/14/2025,0.097,2,16,25104,1,GC,0.1,ST,NA,N,NA,26,260
04/15/2025,0.125,2,16,25105,1,GC,0.1,ST,NA,N,NA,31,310
04/16/2025,0.124,2,16,25106,1,GC,0.05,ST,NA,N,NA,14,280
04/17/2025,0.146,2,16,25107,1,GC,0.05,ST,NA,N,NA,30,600
04/18/2025,0.125,2,16,25108,1,GC,0.05,ST,NA,N,NA,37,740
04/21/2025,0.131,3,17,25111,1,GC,0.05,ST,NA,N,NA,11,220
04/22/2025,0.136,3,17,25112,1,GC,0.05,ST,NA,N,NA,15,300
04/23/2025,0.133,3,17,25113,1,GC,0.05,ST,NA,N,NA,13,260
04/24/2025,0.137,3,17,25114,1,GC,0.05,ST,NA,N,NA,14,280
04/25/2025,0.172,3,17,25115,1,GC,0.047527,ST,NA,N,NA,20,421
04/28/2025,0.133,3,18,25118,1,GC,0.02,ST,NA,N,NA,7,350
04/29/2025,0.126,3,18,25119,1,GC,0.04,ST,NA,N,NA,18,450
04/30/2025,0.127,3,18,25120,1,GC,0.04,ST,NA,N,NA,26,650
05/01/2025,0.08,3,18,25121,1,GC,0.04,ST,NA,N,NA,28,700
05/02/2025,0.19,3,18,25122,1,GC,0.04,ST,NA,N,NA,54,1350
05/05/2025,0.205,4,19,25125,1,GC,0.05,ST,NA,N,NA,41,820
05/06/2025,0.124,4,19,25126,1,GC,0.04,ST,NA,N,NA,28,700
05/07/2025,0.124,4,19,25127,1,GC,0.05,ST,NA,N,NA,41,820
05/08/2025,0.125,4,19,25128,1,GC,0.05,ST,NA,N,NA,36,720
05/09/2025,0.12,4,19,25129,1,GC,0.1,ST,NA,N,NA,29,290
05/12/2025,0.178,5,20,25132,1,GC,0.05,ST,NA,N,NA,88,1760
05/13/2025,0.173,5,20,25133,1,GC,0.02,ST,NA,N,NA,52,2600
05/14/2025,0.171,5,20,25134,1,GC,0.01,ST,NA,N,NA,22,2200
05/15/2025,0.131,5,20,25135,1,GC,0.02,ST,NA,N,NA,15,750
05/16/2025,0.127,5,20,25136,1,GC,0.02,ST,NA,N,NA,10,500
05/19/2025,0.129,6,21,25139,1,GC,0.2,ST,NA,N,NA,36,180
05/20/2025,0.13,6,21,25140,1,GC,0.1,ST,NA,N,NA,15,150
05/21/2025,0.133,6,21,25141,1,GC,0.1,ST,NA,N,NA,17,170
05/22/2025,0.135,6,21,25142,1,GC,0.1,ST,NA,N,NA,11,110
05/23/2025,0.134,6,21,25143,1,GC,0.5,ST,NA,N,NA,20,40
05/26/2025,0.131,6,22,25146,1,GC,0.1,ST,NA,N,NA,16,160
05/27/2025,0.127,6,22,25147,1,GC,0.25,ST,NA,N,NA,16,64
05/28/2025,0.122,6,22,25148,1,GC,0.1,ST,NA,N,NA,4,40
05/29/2025,0.141,6,22,25149,1,GC,0.25,ST,NA,N,NA,31,124
05/30/2025,0.154,6,22,25150,1,GC,0.1,ST,NA,N,NA,15,150
06/02/2025,0.127,6,23,25153,1,GC,0.1,ST,NA,N,NA,13,130
06/03/2025,0.126,6,23,25154,1,GC,0.05,ST,NA,N,NA,2,40
06/04/2025,0.131,6,23,25155,1,GC,0.1,ST,NA,N,NA,3,30
06/05/2025,0.137,6,23,25156,1,GC,0.1,ST,NA,N,NA,1,10
06/06/2025,0.139,6,23,25157,1,GC,0.2,ST,NA,N,NA,2,10
06/09/2025,0.137,6,24,25160,1,GC,0.2,ST,NA,N,NA,1,5
06/10/2025,0.136,6,24,25161,1,GC,0.2,ST,NA,N,NA,4,20
06/11/2025,0.137,6,24,25162,1,GC,0.2,ST,NA,N,NA,3,15
06/12/2025,0.139,6,24,25163,1,GC,0.2,ST,NA,N,NA,8,40
06/13/2025,0.143,6,24,25164,1,GC,0.2,ST,NA,N,NA,3,15
06/16/2025,0.158,6,25,25167,1,GC,0.2,ST,NA,N,NA,3,15
06/18/2025,0.174,6,25,25169,1,GC,0.2,ST,NA,N,NA,1,5
06/27/2025,0.312,6,26,25178,1,GC,0.1,ST,NA,N,NA,1,10
